title_uias,id,title,title_en,plot,year,countries,tagline,actors,directors,screenwriters,producers,operators,composers,art_direction_by,editing_by,genres,cast,budget,marketing,profit_usa,profit_russia,profit_world,audience,rating,votes,imdb_rating,imdb_votes,runtime,release,posters,trailers,youtube_ids,series,series_years,release_russia,release_world,viewers,budget.1,age_restr
Движение вверх,840817,Движение вверх,,"Есть победы, которые меняют ход истории. Победы духа, победы страны, победы всего мира. Таким триумфом стали легендарные «три секунды» — выигрыш сборной СССР по баскетболу на роковой мюнхенской Олимпиаде 1972 г. Впервые за 36 лет была повержена «непобедимая» команда США. Никто даже помыслить не мог о том, что это возможно — обыграть великолепных непогрешимых американцев на Олимпийских играх! Никто, кроме советских баскетболистов (русских и грузин, украинцев и казахов, белорусов и литовцев). Когда проигрыш означал поражение страны, когда нужно было выходить и бороться в раскаленной обстановке из-за произошедшего теракта, великий тренер сборной СССР был готов на все, лишь бы помочь своим подопечным разбить американский миф о непотопляемой команде мечты. Ведь он знал, что создал самую сильную сборную на планете, и в начале заставил поверить в это своих игроков, а затем весь мир.",2017,Россия,,"Владимир Машков, Андрей Смоляков, Иван Колесников, Кирилл Зайцев, Джон Сэвэдж, Марат Башаров, Александра Ревенко, Виктория Толстоганова, Сергей Гармаш, Джеймс Тратас",Антон Мегердичев,"Николай Куликов, Андрей Курейчик","Леонид Верещагин, Антон Златопольский, Никита Михалков",Игорь Гринякин,,"Сергей Агин, Сергей Стручев, Олег Колодько","Петр Зеленов, Антон Мегердичев, Вазген Каграманян","спорт, драма",{},None,None,None,53876764,59884129,,7.551,143072,None,None,133,None,,,,FALSE,(),28 декабря 2017,5 января 2018,12.4 млн,450 000 000 руб.,"зрителям, достигшим 6 лет"
Бегущий в лабиринте: Лекарство от смерти,896631,Бегущий в лабиринте: Лекарство от смерти,Maze Runner: The Death Cure,"Томас возглавляет отряд выживших глейдеров, чтобы выполнить последнюю и самую опасную миссию. Ради спасения своих друзей они должны проникнуть в легендарный Последний город, смертоносный лабиринт, контролируемый ПОРОКом. Каждый, кто выживет там, наконец-то получит ответы на все вопросы, которые мучили глейдеров с момента попадания в лабиринт.",2018,США,«Из каждого лабиринта всегда есть выход»,"Дилан ОБрайен, Ки Хон Ли, Кая Скоделарио, Томас Сэнгстер, Декстер Дарден, Уилл Поултер, Джейкоб Лофленд, Роза Салазар, Джанкарло Эспозито, Патриша Кларксон",Уэс Болл,"Т.С. Наулин, Джеймс Дэшнер","Уэс Болл, Марти Бауэн, Лоренцо Ди Бонавентура",Дьюла Падош,Джон Песано,"Дэниэл Т. Доррэнс, Андреа Борланд, Кристоф Далберг","Пол Харб, Дэн Циммерман","фантастика, боевик, триллер",{},62000000,None,58032443,9341347,288175335,,5.981,41022,None,None,143,None,,,,FALSE,(),17 января 2018,25 января 2018,None,$62 000 000,"зрителям, достигшим 16 лет"
Селфи,897888,Селфи,,"Он полностью копировал его — жесты, мимика, даже шутил так, что никто не заподозрил подмены. Богданов смотрел в экран, как в зеркало. Двойник вел его телепередачу, встречался с его фанатами-читателями, жил с его женщинами, выпивал в баре с его друзьями… Это произошло вмиг — раз — тебя стерли, твою личность, и тут бессильны лучшие психоаналитики. Публичный и успешный, остроумный и циничный, Богданов лишился всего, чего добивался годами, выстраивая свою карьеру и жизнь. И теперь он отчетливо понимал: копия лучше и честнее его самого, битва за себя проиграна. И только дочь хочет вернуть истинного Богданова…",2017,Россия,,"Константин Хабенский, Юлия Хлынина, Фёдор Бондарчук, Анна Михалкова, Северия Янушаускайте, Михаил Мухтасипов, Александра Велескевич, Сергей Бондаренко, Андрей Гринев, Марина Калецкая",Николай Хомерики,Сергей Минаев,"Петр Ануров, Фёдор Бондарчук, Дмитрий Рудовский",Владислав Опельянц,Игорь Вдовин,"Василий Распопов, Татьяна Долматовская",Руслан Габдрахманов,"триллер, драма",{},None,None,None,4139280,4112881,,5.791,20771,None,None,112,None,,,,FALSE,(),2 февраля 2018,1 февраля 2018,907.1 тыс.,115 000 000 руб.,None
Пятьдесят оттенков свободы,893488,Пятьдесят оттенков свободы,Fifty Shades Freed,"Кристиан и Анастейша поженились и живут в своё удовольствие, наслаждаясь обществом друг друга. Однако жизнь новоиспечённой миссис Грей находится в опасности, поскольку объявляется недруг, который собирается мстить, используя свою богатую фантазию. Призраки прошлого Кристиана вновь вернулись, а тучи над супругами сгущаются всё сильнее.",2018,США,«Миссис Грей ждёт вас»,"Дакота Джонсон, Джейми Дорнан, Эрик Джонсон, Элоиза Мамфорд, Рита Ора, Люк Граймс, Виктор Расук, Макс Мартини, Дженнифер Эль, Марша Гей Харден",Джеймс Фоули,"Ниал Леонард, Э.Л. Джеймс","Дэна Брунетти, Майкл Де Лука, Э.Л. Джеймс",Джон Шварцман,Дэнни Элфман,"Нельсон Коутс, Питер Боднарус, Крэйг Хемфрис","Дэвид С. Кларк, Ричард Фрэнсис-Брюс, Дебра Нил Фишер","триллер, драма, мелодрама",{},55000000,None,100407760,13530787,371985018,,5.317,30511,None,None,105,None,,,,FALSE,(),6 февраля 2018,8 февраля 2018,None,$55 000 000,None
Лёд,900052,Лёд,,"С самого детства Надя верила в чудеса. Она представляла себе, как выходит на лёд под овации публики и танцует свой самый красивый танец. И вот, благодаря вере и упорству, Надя становится знаменитой фигуристкой. Но когда ее мечты о громких победах, красивой жизни и прекрасном принце уже, кажется, готовы исполниться, судьба преподносит ей настоящее испытание. И чтобы его пройти, нужно будет снова, как в детстве, поверить в мечту. Ведь, может быть, победа не всегда должна быть громкой, а прекрасный принц не обязательно передвигается на белом коне?..",2017,Россия,«Весна близко»,"Аглая Тарасова, Диана Енакаева, Мария Аронова, Александр Петров, Милош Бикович, Ян Цапник, Ксения Раппопорт, Ксения Лаврова-Глинка, Павел Майков, Максим Белбородов",Олег Трофим,"Андрей Золотарев, Олег Маловичко","Фёдор Бондарчук, Дмитрий Рудовский, Александр Андрющенко",Михаил Милашин,"Антон Беляев, Дмитрий Селипанов","Жанна Пахомова, Дарья Зонова",Александр Андрющенко,"мелодрама, драма, спорт",{},None,None,None,26065491,29806210,,6.746,53722,None,None,113,None,,,,FALSE,(),14 февраля 2018,14 февраля 2018,6.35 млн,150 000 000 руб.,None
Чёрная пантера,623250,Чёрная Пантера,Black Panther,"С первого взгляда можно решить, что Ваканда — обычная территория дикой Африки, но это не так. Здесь, в недрах пустынных земель, скрываются залежи уникального металла, способного поглощать вибрацию. Многие пытались добраться до него, разоряя всё на своём пути и принося смерть аборигенам, но каждый раз таинственный дух саванны — Чёрная Пантера — вставал на защиту угнетённых. Спустя много лет беда снова приходит в Ваканду, и в этот раз враг заручился поддержкой современных технологий. Когда шансов почти не остаётся, Т`Чалла, молодой принц Ваканды, узнаёт, что именно ему предстоит возродить легенду и продолжить вечную борьбу, надев маску Чёрной Пантеры.",2018,США,«Да здравствует король»,"Чедвик Боузман, Майкл Б. Джордан, Лупита Нионго, Данай Гурира, Мартин Фриман, Дэниэл Калуя, Летишиа Райт, Уинстон Дьюк, Стерлинг К. Браун, Анджела Бассетт",Райан Куглер,"Райан Куглер, Джо Роберт Коул, Стэн Ли","Виктория Алонсо, Джеффри Чернов, Луис ДЭспозито",Рэйчел Моррисон,Людвиг Йоранссон,"Ханна Бичлер, Джейсон Т. Кларк, Joseph Hiura","Дэбби Берман, Майкл П. Шовер","фантастика, боевик, приключения",{},200000000,None,700059566,18903062,1346913161,,6.454,127803,None,None,134,None,,,,FALSE,(),29 января 2018,26 февраля 2018,None,$200 000 000,None
Я худею,842037,Я худею,,"В жизни Ани есть две главные любви — её парень Женя и еда. Из-за еды они и расстаются: Жене совсем не нравится, как Аня стала выглядеть. Аня не готова просто сдаться. При поддержке лучшей подруги и увлечённого здоровым образом жизни добряка Коли она пускается в увлекательное приключение, чтобы похудеть и обрести любовь и счастье.",2018,Россия,«Хорош себя стесняться!»,"Александра Бортич, Ирина Горбачева, Сергей Шнуров, Евгений Кулик, Роман Курцын, Александр Пташенчук, Елена Валюшкина, Валерия Дергилева, Андрей Трушин, Олег Кассин",Алексей Нужный,"Николай Куликов, Алексей Нужный, Константин Майер","Сергей Корнихин, Николай Куликов, Алексей Нужный",Кирилл Клепалов,"Дмитрий Ланской, Дмитрий Емельянов",Маргарита Аблаева,Авет Оганесян,комедия,{},1700000,None,None,11482662,10999346,,6.903,89520,None,None,102,None,,,,FALSE,(),11 марта 2018,8 марта 2018,2.72 млн,$1 700 000,None
Tomb Raider: Лара Крофт,446136,Tomb Raider: Лара Крофт,Tomb Raider,"Лара Крофт — весьма самостоятельная дочь эксцентричного искателя приключений, который пропал, едва она стала подростком. Теперь ей двадцать один, она бесцельно проживает свою жизнь, курьером рассекая на байке по забитым улицам восточного Лондона. Решительно настроенная пробиться сама, она отказывается брать на себя руководство глобальной империей отца, столь же категорично отвергая мысль о том, что он действительно пропал. Слыша советы о том, что ей нужно смириться с этим фактом и жить дальше после семи лет бесплодных поисков, Лара уже и сама не понимает, что же заставляет ее распутывать обстоятельства его таинственного исчезновения.",2018,"Великобритания, США",«Her legend begins»,"Алисия Викандер, Доминик Уэст, Уолтон Гоггинс, Дэниэл Ву, Кристин Скотт Томас, Дерек Джекоби, Александр Виллауме, Тамер Барджаг, Эдриан Коллинз, Кинэн Эррисон",Роар Утхауг,"Женева Робертсон-Дуорет, Алистер Сиддонс, Susan OConnor","Грэм Кинг, Женевьева Хофмайер, Ной Хьюз",Джордж Ричмонд,Junkie XL,"Гари Фриман, Том Браун, Клер Флеминг","Стюарт Бейрд, Том Харрисон-Рид, Майкл Троник","фэнтези, боевик, триллер, приключения",{},94000000,None,58250803,None,274650803,,6.104,58543,None,None,118,None,,,,FALSE,(),2 марта 2018,15 марта 2018,1.59 млн,$94 000 000,None
Тихоокеанский рубеж 2,721154,Тихоокеанский рубеж 2,Pacific Rim: Uprising,Команда пилотируемых роботов-защитников остановила вторжение гигантских инопланетных монстров. Великая битва за Тихоокеанский рубеж ознаменовала новую главу в истории человечества. Однако война только начинается… Пришло время нового поколения отстаивать своё право на Землю.,2018,"Великобритания, Китай, Япония, США",«Rise up»,"Джон Бойега, Скотт Иствуд, Кэйли Спэни, Берн Горман, Чарли Дэй, Цзин Тянь, Макс Чжан, Адриа Архона, Ринко Кикути, Каран Брэр",Стивен С. ДеНайт,"Стивен С. ДеНайт, Эмили Кармайкл, Кира Снайдер","Джей Эшенфелтер, Джон Бойега, Кейл Бойтер",Дэниэл Миндел,Лорн Бэлф,"Стефан Дешан, Роберт Бэвин, Mitch Cass","Дилан Хигсмит, Джош Шеффер, Зак Стэнберг","фантастика, боевик, приключения",{},150000000,None,59874525,11075577,290930148,,5.736,44910,None,None,110,None,,,,FALSE,(),21 марта 2018,22 марта 2018,None,$150 000 000,"зрителям, достигшим 12 лет"
Первому игроку приготовиться,538225,Первому игроку приготовиться,Ready Player One,"Действие фильма происходит в 2045 году, мир погружается в хаос и находится на грани коллапса. Люди ищут спасения в игре OASIS — огромной вселенной виртуальной реальности. Ее создатель, гениальный и эксцентричный Джеймс Холлидэй, оставляет уникальное завещание. Все его колоссальное состояние получит игрок, первым обнаруживший цифровое «пасхальное яйцо», которое миллиардер спрятал где-то на просторах OASISа. Запущенный им квест охватывает весь мир. Совершенно негероический парень по имени Уэйд Уоттс решает принять участие в состязании, с головой бросаясь в головокружительную, искажающую реальность погоню за сокровищами по фантастической вселенной, полной загадок, открытий и опасностей.",2018,"США, Индия",«Загрузи новую реальность»,"Тай Шеридан, Оливия Кук, Бен Мендельсон, Лина Уэйте, ТиДжей Миллер, Саймон Пегг, Марк Райлэнс, Филип Чжао, Уин Морисаки, Ханна Джон-Кэймен",Стивен Спилберг,"Эрнест Клайн, Зак Пенн","Брюс Берман, Рик Картер, Эрнест Клайн",Януш Камински,Алан Сильвестри,"Адам Штокхаузен, Гай Брэдли, Гэвин Фитч","Сара Брошар, Майкл Кан","фантастика, боевик, приключения",{},175000000,None,137690172,11837806,582890172,,7.399,153186,None,None,140,None,,,,FALSE,(),11 марта 2018,29 марта 2018,None,$175 000 000,None
